CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
5,SUCCESS,3,3,0.29,0.2,0.49
1,SUCCESS,3,4,0.29,0.2,0.49
33,SUCCESS,2,0,0.8,0.2,1
11,SUCCESS,3,3,4.29,0.49,4.77
3,SUCCESS,3,4,4.29,0.49,4.77
6,SUCCESS,3,4,0.57,4.77,5.34
9,SUCCESS,3,4,0.29,5.34,5.63
13,SUCCESS,3,4,0.29,5.63,5.91
4,SUCCESS,2,2,5.71,0.2,5.91
14,SUCCESS,3,4,0.57,5.91,6.49
0,SUCCESS,2,1,8,0.2,8.2
2,SUCCESS,2,1,0.8,8.2,9
23,SUCCESS,3,3,4.29,4.77,9.06
7,SUCCESS,2,2,4.29,5.91,10.2
16,SUCCESS,3,4,5.71,6.49,12.2
39,SUCCESS,2,0,12,1,13
32,SUCCESS,3,3,5.71,9.06,14.77
41,SUCCESS,3,3,0.29,14.77,15.06
8,SUCCESS,2,2,5.71,10.2,15.91
10,SUCCESS,2,2,0.57,15.91,16.49
19,SUCCESS,3,4,4.29,12.2,16.49
17,SUCCESS,2,2,0.29,16.49,16.77
21,SUCCESS,3,4,0.29,16.49,16.77
12,SUCCESS,2,1,8,9,17
22,SUCCESS,3,4,0.57,16.77,17.34
47,SUCCESS,3,3,4.29,15.06,19.34
49,SUCCESS,3,3,0.29,19.34,19.63
50,SUCCESS,3,3,0.57,19.63,20.2
28,SUCCESS,2,2,5.71,16.77,22.48
29,SUCCESS,2,2,0.29,22.48,22.77
15,SUCCESS,2,1,6,17,23
24,SUCCESS,3,4,5.71,17.34,23.06
30,SUCCESS,2,2,0.57,22.77,23.34
25,SUCCESS,3,4,0.29,23.06,23.34
18,SUCCESS,2,1,0.8,23,23.79
26,SUCCESS,3,4,0.57,23.34,23.91
75,SUCCESS,2,0,12,13,25
105,SUCCESS,2,0,0.8,25,25.8
56,SUCCESS,3,3,5.71,20.2,25.91
57,SUCCESS,3,3,0.29,25.91,26.2
31,SUCCESS,2,2,4.29,23.34,27.63
27,SUCCESS,3,4,4.29,23.91,28.2
34,SUCCESS,3,4,0.57,28.2,28.77
59,SUCCESS,3,3,4.29,26.2,30.49
62,SUCCESS,3,3,0.57,30.49,31.06
66,SUCCESS,3,3,0.57,31.06,31.63
20,SUCCESS,2,1,8,23.79,31.79
35,SUCCESS,2,2,4.29,27.63,31.91
37,SUCCESS,2,1,0.4,31.79,32.19
82,SUCCESS,3,3,0.57,31.63,32.2
54,SUCCESS,2,1,0.8,32.19,32.99
65,SUCCESS,2,1,0.4,32.99,33.39
69,SUCCESS,2,1,0.4,33.39,33.79
73,SUCCESS,2,1,0.4,33.79,34.19
36,SUCCESS,3,4,5.71,28.77,34.49
78,SUCCESS,2,1,0.8,34.19,34.99
38,SUCCESS,3,4,0.57,34.49,35.06
85,SUCCESS,2,1,0.4,34.99,35.39
86,SUCCESS,2,1,0.8,35.39,36.19
91,SUCCESS,3,3,4.29,32.2,36.49
93,SUCCESS,3,3,0.29,36.49,36.77
90,SUCCESS,2,1,0.8,36.19,36.99
94,SUCCESS,3,3,0.57,36.77,37.34
52,SUCCESS,2,2,5.71,31.91,37.62
97,SUCCESS,3,3,0.29,37.34,37.63
101,SUCCESS,3,3,0.29,37.63,37.91
40,SUCCESS,3,4,5.71,35.06,40.77
42,SUCCESS,3,4,0.57,40.77,41.34
124,SUCCESS,2,0,16,25.8,41.8
103,SUCCESS,3,3,4.29,37.91,42.2
60,SUCCESS,2,2,5.71,37.62,43.34
96,SUCCESS,2,1,8,36.99,44.99
43,SUCCESS,3,4,4.29,41.34,45.63
106,SUCCESS,2,1,0.8,44.99,45.79
117,SUCCESS,2,1,0.4,45.79,46.19
112,SUCCESS,3,3,5.71,42.2,47.91
68,SUCCESS,2,2,5.71,43.34,49.05
44,SUCCESS,3,4,5.71,45.63,51.34
45,SUCCESS,3,4,0.29,51.34,51.63
123,SUCCESS,2,1,6,46.19,52.19
119,SUCCESS,3,3,4.29,47.91,52.2
46,SUCCESS,3,4,0.57,51.63,52.2
129,SUCCESS,3,3,0.29,52.2,52.49
71,SUCCESS,2,2,4.29,49.05,53.34
207,SUCCESS,2,0,12,41.8,53.79
222,SUCCESS,2,0,1.6,53.79,55.39
298,SUCCESS,2,0,1.6,55.39,56.99
48,SUCCESS,3,4,5.71,52.2,57.91
127,SUCCESS,2,1,6,52.19,58.19
132,SUCCESS,3,3,5.71,52.49,58.2
76,SUCCESS,2,2,5.71,53.34,59.05
51,SUCCESS,3,4,4.29,57.91,62.2
139,SUCCESS,3,3,4.29,58.2,62.49
53,SUCCESS,3,4,0.29,62.2,62.49
141,SUCCESS,3,3,0.29,62.49,62.77
150,SUCCESS,3,3,0.57,62.77,63.34
84,SUCCESS,2,2,5.71,59.05,64.77
128,SUCCESS,2,1,8,58.19,66.19
55,SUCCESS,3,4,4.29,62.49,66.77
58,SUCCESS,3,4,0.57,66.77,67.34
61,SUCCESS,3,4,0.29,67.34,67.63
156,SUCCESS,3,3,5.71,63.34,69.06
157,SUCCESS,3,3,0.29,69.06,69.34
158,SUCCESS,3,3,0.57,69.34,69.91
88,SUCCESS,2,2,5.71,64.77,70.48
63,SUCCESS,3,4,4.29,67.63,71.91
131,SUCCESS,2,1,6,66.19,72.19
145,SUCCESS,2,1,0.4,72.19,72.59
316,SUCCESS,2,0,16,56.99,72.99
163,SUCCESS,3,3,4.29,69.91,74.2
92,SUCCESS,2,2,5.71,70.48,76.19
98,SUCCESS,2,2,0.57,76.19,76.77
64,SUCCESS,3,4,5.71,71.91,77.63
147,SUCCESS,2,1,6,72.59,78.59
149,SUCCESS,2,1,0.4,78.59,78.99
164,SUCCESS,3,3,5.71,74.2,79.91
166,SUCCESS,3,3,0.57,79.91,80.49
173,SUCCESS,3,3,0.29,80.49,80.77
174,SUCCESS,3,3,0.57,80.77,81.34
178,SUCCESS,3,3,0.57,81.34,81.91
67,SUCCESS,3,4,4.29,77.63,81.91
100,SUCCESS,2,2,5.71,76.77,82.48
70,SUCCESS,3,4,0.57,81.91,82.49
109,SUCCESS,2,2,0.29,82.48,82.76
114,SUCCESS,2,2,0.57,82.76,83.34
155,SUCCESS,2,1,6,78.99,84.99
115,SUCCESS,2,2,4.28,83.34,87.62
188,SUCCESS,3,3,5.71,81.91,87.63
72,SUCCESS,3,4,5.71,82.49,88.2
74,SUCCESS,3,4,0.57,88.2,88.77
320,SUCCESS,2,0,16,72.99,88.99
77,SUCCESS,3,4,0.29,88.77,89.06
345,SUCCESS,2,0,0.8,88.99,89.79
361,SUCCESS,2,0,0.8,89.79,90.59
