CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
2,SUCCESS,3,4,0.57,0.2,0.77
3,SUCCESS,3,4,4.29,0.77,5.06
0,SUCCESS,3,3,5.71,0.2,5.91
4,SUCCESS,2,2,5.71,0.2,5.91
1,SUCCESS,3,3,0.29,5.91,6.2
5,SUCCESS,2,2,0.29,5.91,6.2
6,SUCCESS,3,3,0.57,6.2,6.77
18,SUCCESS,2,2,0.57,6.2,6.77
10,SUCCESS,3,3,0.57,6.77,7.34
12,SUCCESS,2,1,8,0.2,8.2
7,SUCCESS,3,4,4.29,5.06,9.34
23,SUCCESS,2,2,4.29,6.77,11.06
11,SUCCESS,3,3,4.29,7.34,11.63
22,SUCCESS,3,3,0.57,11.63,12.2
8,SUCCESS,3,4,5.71,9.34,15.06
9,SUCCESS,3,4,0.29,15.06,15.34
13,SUCCESS,3,4,0.29,15.34,15.63
20,SUCCESS,2,0,16,0.2,16.2
14,SUCCESS,3,4,0.57,15.63,16.2
16,SUCCESS,2,1,8.11,8.2,16.31
27,SUCCESS,3,3,4.29,12.2,16.49
24,SUCCESS,2,2,5.71,11.06,16.77
29,SUCCESS,3,3,0.29,16.49,16.77
49,SUCCESS,2,0,0.8,16.2,16.99
37,SUCCESS,3,3,0.29,16.77,17.06
33,SUCCESS,2,2,0.33,16.77,17.1
42,SUCCESS,2,2,0.57,17.1,17.68
50,SUCCESS,2,2,0.57,17.68,18.25
57,SUCCESS,2,2,0.29,18.25,18.53
61,SUCCESS,2,2,0.29,18.53,18.82
15,SUCCESS,3,4,4.29,16.2,20.49
17,SUCCESS,3,4,0.29,20.49,20.77
21,SUCCESS,3,4,0.29,20.77,21.06
26,SUCCESS,3,4,0.57,21.06,21.63
19,SUCCESS,2,1,6,16.31,22.31
25,SUCCESS,2,1,0.4,22.31,22.71
40,SUCCESS,3,3,5.71,17.06,22.77
45,SUCCESS,3,3,0.29,22.77,23.06
46,SUCCESS,3,3,0.57,23.06,23.63
76,SUCCESS,2,2,5.71,18.82,24.53
77,SUCCESS,2,2,0.29,24.53,24.82
78,SUCCESS,2,2,0.57,24.82,25.39
28,SUCCESS,3,4,5.71,21.63,27.34
55,SUCCESS,3,3,4.29,23.63,27.91
30,SUCCESS,3,4,0.57,27.34,27.91
58,SUCCESS,3,3,0.57,27.91,28.49
35,SUCCESS,2,1,6,22.71,28.7
51,SUCCESS,2,0,12,16.99,28.99
38,SUCCESS,2,1,0.8,28.7,29.5
79,SUCCESS,2,2,4.29,25.39,29.67
41,SUCCESS,2,1,0.4,29.5,29.9
31,SUCCESS,3,4,4.29,27.91,32.2
91,SUCCESS,2,2,4.29,29.67,33.96
60,SUCCESS,3,3,5.71,28.49,34.2
97,SUCCESS,2,2,0.29,33.96,34.25
62,SUCCESS,3,3,0.57,34.2,34.77
44,SUCCESS,2,1,8,29.9,37.9
32,SUCCESS,3,4,5.71,32.2,37.91
34,SUCCESS,3,4,0.57,37.91,38.49
99,SUCCESS,2,2,4.28,34.25,38.53
63,SUCCESS,3,3,4.29,34.77,39.06
70,SUCCESS,3,3,0.57,39.06,39.63
74,SUCCESS,3,3,0.57,39.63,40.2
81,SUCCESS,3,3,0.29,40.2,40.49
82,SUCCESS,3,3,0.57,40.49,41.06
103,SUCCESS,2,2,4.29,38.53,42.82
47,SUCCESS,2,1,6,37.9,43.9
36,SUCCESS,3,4,5.71,38.49,44.2
53,SUCCESS,2,1,0.4,43.9,44.3
80,SUCCESS,2,0,16,28.99,44.99
84,SUCCESS,3,3,5.71,41.06,46.77
85,SUCCESS,3,3,0.29,46.77,47.06
39,SUCCESS,3,4,4.29,44.2,48.49
112,SUCCESS,2,2,5.71,42.82,48.53
59,SUCCESS,2,1,6,44.3,50.3
66,SUCCESS,2,1,0.8,50.3,51.1
87,SUCCESS,3,3,4.29,47.06,51.34
43,SUCCESS,3,4,4.29,48.49,52.77
116,SUCCESS,2,2,5.71,48.53,54.24
125,SUCCESS,2,2,0.29,54.24,54.53
130,SUCCESS,2,2,0.57,54.53,55.1
95,SUCCESS,3,3,4.29,51.34,55.63
123,SUCCESS,2,0,12,44.99,56.98
67,SUCCESS,2,1,6,51.1,57.1
48,SUCCESS,3,4,5.71,52.77,58.49
138,SUCCESS,2,0,1.6,56.98,58.58
132,SUCCESS,2,2,5.71,55.1,60.81
96,SUCCESS,3,3,5.71,55.63,61.34
134,SUCCESS,2,2,0.57,60.81,61.39
52,SUCCESS,3,4,5.71,58.49,64.2
54,SUCCESS,3,4,0.57,64.2,64.77
68,SUCCESS,2,1,8,57.1,65.1
151,SUCCESS,2,2,4.28,61.39,65.67
100,SUCCESS,3,3,5.71,61.34,67.06
105,SUCCESS,3,3,0.29,67.06,67.34
56,SUCCESS,3,4,5.71,64.77,70.49
155,SUCCESS,2,0,12,58.58,70.58
152,SUCCESS,2,2,5.71,65.67,71.38
107,SUCCESS,3,3,4.29,67.34,71.63
181,SUCCESS,2,2,0.29,71.38,71.67
109,SUCCESS,3,3,0.29,71.63,71.91
185,SUCCESS,2,2,0.29,71.67,71.96
162,SUCCESS,2,0,1.6,70.58,72.18
113,SUCCESS,3,3,0.29,71.91,72.2
189,SUCCESS,2,2,0.33,71.96,72.29
114,SUCCESS,3,3,0.57,72.2,72.77
173,SUCCESS,2,0,0.8,72.18,72.98
121,SUCCESS,3,3,0.29,72.77,73.06
88,SUCCESS,2,1,8,65.1,73.1
98,SUCCESS,2,1,0.8,73.1,73.9
101,SUCCESS,2,1,0.4,73.9,74.3
210,SUCCESS,2,0,1.6,72.98,74.58
64,SUCCESS,3,4,5.71,70.49,76.2
65,SUCCESS,3,4,0.29,76.2,76.49
191,SUCCESS,2,2,4.29,72.29,76.57
69,SUCCESS,3,4,0.29,76.49,76.77
128,SUCCESS,3,3,5.71,73.06,78.77
133,SUCCESS,3,3,0.29,78.77,79.06
71,SUCCESS,3,4,4.29,76.77,81.06
200,SUCCESS,2,2,5.71,76.57,82.29
108,SUCCESS,2,1,8.1,74.3,82.4
205,SUCCESS,2,2,0.29,82.29,82.57
209,SUCCESS,2,2,0.29,82.57,82.86
213,SUCCESS,2,2,0.29,82.86,83.15
110,SUCCESS,2,1,0.86,82.4,83.26
136,SUCCESS,3,3,5.71,79.06,84.77
137,SUCCESS,3,3,0.29,84.77,85.06
72,SUCCESS,3,4,5.71,81.06,86.77
73,SUCCESS,3,4,0.29,86.77,87.06
219,SUCCESS,2,2,4.29,83.15,87.43
222,SUCCESS,2,2,0.57,87.43,88
119,SUCCESS,2,1,6,83.26,89.26
139,SUCCESS,3,3,4.29,85.06,89.34
142,SUCCESS,3,3,0.57,89.34,89.91
220,SUCCESS,2,0,16,74.58,90.58
75,SUCCESS,3,4,4.29,87.06,91.34
257,SUCCESS,2,0,0.8,90.58,91.38
278,SUCCESS,2,0,1.6,91.38,92.98
228,SUCCESS,2,2,5.71,88,93.72
233,SUCCESS,2,2,0.29,93.72,94
147,SUCCESS,2,1,6,89.26,95.25
144,SUCCESS,3,3,5.71,89.91,95.63
83,SUCCESS,3,4,4.29,91.34,95.63
157,SUCCESS,3,3,0.29,95.63,95.91
86,SUCCESS,3,4,0.57,95.63,96.2
89,SUCCESS,3,4,0.29,96.2,96.49
90,SUCCESS,3,4,0.57,96.49,97.06
244,SUCCESS,2,2,5.71,94,99.72
253,SUCCESS,2,2,0.29,99.72,100
167,SUCCESS,3,3,4.29,95.91,100.2
262,SUCCESS,2,2,0.57,100,100.57
92,SUCCESS,3,4,5.71,97.06,102.77
93,SUCCESS,3,4,0.29,102.77,103.06
148,SUCCESS,2,1,8,95.25,103.25
94,SUCCESS,3,4,0.57,103.06,103.63
153,SUCCESS,2,1,0.4,103.25,103.65
161,SUCCESS,2,1,0.4,103.65,104.05
102,SUCCESS,3,4,0.57,103.63,104.2
263,SUCCESS,2,2,4.29,100.57,104.86
283,SUCCESS,2,0,12,92.98,104.97
168,SUCCESS,3,3,5.71,100.2,105.91
169,SUCCESS,3,3,0.29,105.91,106.2
170,SUCCESS,3,3,0.57,106.2,106.77
104,SUCCESS,3,4,5.71,104.2,109.91
163,SUCCESS,2,1,6,104.05,110.05
106,SUCCESS,3,4,0.57,109.91,110.49
264,SUCCESS,2,2,5.71,104.86,110.57
175,SUCCESS,3,3,4.29,106.77,111.06
266,SUCCESS,2,2,0.57,110.57,111.14
111,SUCCESS,3,4,4.29,110.49,114.77
267,SUCCESS,2,2,4.29,111.14,115.43
273,SUCCESS,2,2,0.29,115.43,115.72
171,SUCCESS,2,1,6,110.05,116.05
290,SUCCESS,2,2,0.57,115.72,116.29
176,SUCCESS,3,3,5.71,111.06,116.77
182,SUCCESS,2,1,0.8,116.05,116.85
115,SUCCESS,3,4,4.29,114.77,119.06
117,SUCCESS,3,4,0.29,119.06,119.34
118,SUCCESS,3,4,0.57,119.34,119.91
291,SUCCESS,2,2,4.29,116.29,120.57
