CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
1,SUCCESS,2,1,0.4,0.2,0.6
6,SUCCESS,3,3,0.57,0.2,0.77
2,SUCCESS,3,4,0.57,0.2,0.77
7,SUCCESS,3,3,4.29,0.77,5.06
3,SUCCESS,3,4,4.29,0.77,5.06
9,SUCCESS,3,3,0.29,5.06,5.34
0,SUCCESS,2,2,5.71,0.2,5.91
25,SUCCESS,2,2,0.29,5.91,6.2
16,SUCCESS,2,1,8,0.6,8.6
11,SUCCESS,3,3,4.29,5.34,9.63
4,SUCCESS,3,4,5.71,5.06,10.77
5,SUCCESS,3,4,0.29,10.77,11.06
28,SUCCESS,2,2,5.71,6.2,11.91
23,SUCCESS,2,0,12,0.2,12.2
29,SUCCESS,2,2,0.39,11.91,12.31
42,SUCCESS,2,2,0.57,12.31,12.88
33,SUCCESS,2,0,0.8,12.2,13
46,SUCCESS,2,2,0.57,12.88,13.45
50,SUCCESS,2,0,1.6,13,14.59
19,SUCCESS,2,1,6.1,8.6,14.7
12,SUCCESS,3,3,5.71,9.63,15.34
30,SUCCESS,2,1,0.8,14.7,15.5
14,SUCCESS,3,3,0.57,15.34,15.91
8,SUCCESS,3,4,5.71,11.06,16.77
10,SUCCESS,3,4,0.57,16.77,17.34
13,SUCCESS,3,4,0.29,17.34,17.63
47,SUCCESS,2,2,4.29,13.45,17.74
54,SUCCESS,2,2,0.57,17.74,18.31
57,SUCCESS,2,2,0.29,18.31,18.59
65,SUCCESS,2,2,0.29,18.59,18.88
66,SUCCESS,2,2,0.57,18.88,19.45
31,SUCCESS,2,1,6,15.5,21.5
24,SUCCESS,3,3,5.71,15.91,21.63
37,SUCCESS,3,3,0.29,21.63,21.91
15,SUCCESS,3,4,4.29,17.63,21.91
17,SUCCESS,3,4,0.29,21.91,22.2
18,SUCCESS,3,4,0.57,22.2,22.77
67,SUCCESS,2,2,4.29,19.45,23.74
77,SUCCESS,2,2,0.29,23.74,24.02
78,SUCCESS,2,2,0.57,24.02,24.59
39,SUCCESS,3,3,4.29,21.91,26.2
51,SUCCESS,2,0,12,14.59,26.59
20,SUCCESS,3,4,5.71,22.77,28.49
21,SUCCESS,3,4,0.29,28.49,28.77
79,SUCCESS,2,2,4.29,24.59,28.88
22,SUCCESS,3,4,0.57,28.77,29.34
86,SUCCESS,2,2,0.57,28.88,29.45
36,SUCCESS,2,1,8.06,21.5,29.56
26,SUCCESS,3,4,0.57,29.34,29.91
44,SUCCESS,3,3,5.71,26.2,31.91
45,SUCCESS,3,3,0.29,31.91,32.2
27,SUCCESS,3,4,4.29,29.91,34.2
88,SUCCESS,2,2,5.71,29.45,35.16
55,SUCCESS,3,3,4.29,32.2,36.49
48,SUCCESS,2,1,8,29.56,37.56
123,SUCCESS,2,0,12,26.59,38.59
91,SUCCESS,2,2,4.28,35.16,39.45
32,SUCCESS,3,4,5.71,34.2,39.91
34,SUCCESS,3,4,0.57,39.91,40.49
59,SUCCESS,3,3,4.29,36.49,40.77
35,SUCCESS,3,4,4.29,40.49,44.77
92,SUCCESS,2,2,5.71,39.45,45.16
38,SUCCESS,3,4,0.57,44.77,45.34
52,SUCCESS,2,1,8,37.56,45.56
60,SUCCESS,3,3,5.71,40.77,46.49
61,SUCCESS,3,3,0.29,46.49,46.77
95,SUCCESS,2,2,4.29,45.16,49.45
127,SUCCESS,2,0,12,38.59,50.59
40,SUCCESS,3,4,5.71,45.34,51.06
41,SUCCESS,3,4,0.29,51.06,51.34
129,SUCCESS,2,0,0.8,50.59,51.39
64,SUCCESS,3,3,5.71,46.77,52.49
134,SUCCESS,2,0,1.6,51.39,52.99
56,SUCCESS,2,1,8,45.56,53.56
69,SUCCESS,2,1,0.4,53.56,53.96
96,SUCCESS,2,2,5.71,49.45,55.16
105,SUCCESS,2,2,0.29,55.16,55.45
43,SUCCESS,3,4,4.29,51.34,55.63
49,SUCCESS,3,4,0.29,55.63,55.91
106,SUCCESS,2,2,0.57,55.45,56.02
53,SUCCESS,3,4,0.29,55.91,56.2
109,SUCCESS,2,2,0.29,56.02,56.3
58,SUCCESS,3,4,0.57,56.2,56.77
62,SUCCESS,3,4,0.57,56.77,57.34
68,SUCCESS,3,3,5.71,52.49,58.2
70,SUCCESS,3,3,0.57,58.2,58.77
111,SUCCESS,2,2,4.29,56.3,60.59
63,SUCCESS,3,4,4.29,57.34,61.63
76,SUCCESS,2,1,8,53.96,61.95
81,SUCCESS,2,1,0.4,61.95,62.35
72,SUCCESS,3,3,5.71,58.77,64.49
115,SUCCESS,2,2,4.29,60.59,64.88
71,SUCCESS,3,4,4.29,61.63,65.91
73,SUCCESS,3,4,0.29,65.91,66.2
74,SUCCESS,3,4,0.57,66.2,66.77
99,SUCCESS,2,1,6,62.35,68.35
156,SUCCESS,2,0,16,52.99,68.99
102,SUCCESS,2,1,0.8,68.35,69.15
80,SUCCESS,3,3,5.71,64.49,70.2
116,SUCCESS,2,2,5.71,64.88,70.59
121,SUCCESS,2,2,0.29,70.59,70.88
75,SUCCESS,3,4,4.29,66.77,71.06
130,SUCCESS,2,2,0.57,70.88,71.45
82,SUCCESS,3,4,0.57,71.06,71.63
84,SUCCESS,3,3,5.71,70.2,75.91
83,SUCCESS,3,4,4.29,71.63,75.91
85,SUCCESS,3,3,0.29,75.91,76.2
90,SUCCESS,3,3,0.57,76.2,76.77
93,SUCCESS,3,3,0.29,76.77,77.06
108,SUCCESS,2,1,8,69.15,77.15
140,SUCCESS,2,2,5.82,71.45,77.26
141,SUCCESS,2,2,0.29,77.26,77.55
94,SUCCESS,3,3,0.57,77.06,77.63
113,SUCCESS,2,1,0.51,77.15,77.66
87,SUCCESS,3,4,4.29,75.91,80.2
89,SUCCESS,3,4,0.29,80.2,80.49
97,SUCCESS,3,4,0.29,80.49,80.77
163,SUCCESS,2,0,12,68.99,80.98
98,SUCCESS,3,4,0.57,80.77,81.34
101,SUCCESS,3,4,0.29,81.34,81.63
143,SUCCESS,2,2,4.29,77.55,81.83
100,SUCCESS,3,3,5.71,77.63,83.34
119,SUCCESS,2,1,6,77.66,83.66
104,SUCCESS,3,4,5.71,81.63,87.34
144,SUCCESS,2,2,5.71,81.83,87.55
103,SUCCESS,3,3,4.29,83.34,87.63
153,SUCCESS,2,2,0.29,87.55,87.83
110,SUCCESS,3,4,0.57,87.34,87.91
161,SUCCESS,2,2,0.29,87.83,88.12
165,SUCCESS,2,2,0.29,88.12,88.4
120,SUCCESS,2,1,8,83.66,91.66
107,SUCCESS,3,3,4.29,87.63,91.91
