CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
1,SUCCESS,2,2,0.29,0.2,0.49
9,SUCCESS,3,3,0.29,0.2,0.49
5,SUCCESS,3,4,0.29,0.2,0.49
13,SUCCESS,3,3,0.29,0.49,0.77
6,SUCCESS,3,4,0.57,0.49,1.06
14,SUCCESS,3,4,0.57,1.06,1.63
18,SUCCESS,3,4,0.57,1.63,2.2
22,SUCCESS,3,4,0.57,2.2,2.77
29,SUCCESS,3,4,0.29,2.77,3.06
3,SUCCESS,2,2,4.29,0.49,4.77
15,SUCCESS,3,3,4.29,0.77,5.06
0,SUCCESS,2,1,8,0.2,8.2
32,SUCCESS,3,4,5.71,3.06,8.77
2,SUCCESS,2,1,0.8,8.2,9
7,SUCCESS,2,2,4.34,4.77,9.11
34,SUCCESS,3,4,0.57,8.77,9.34
10,SUCCESS,2,2,0.57,9.11,9.68
20,SUCCESS,3,3,5.71,5.06,10.77
21,SUCCESS,3,3,0.29,10.77,11.06
11,SUCCESS,2,2,4.29,9.68,13.97
36,SUCCESS,3,4,5.71,9.34,15.06
23,SUCCESS,3,3,4.29,11.06,15.34
26,SUCCESS,3,3,0.57,15.34,15.91
4,SUCCESS,2,0,16,0.2,16.2
8,SUCCESS,2,1,8,9,17
42,SUCCESS,2,0,1.6,16.2,17.8
109,SUCCESS,2,0,0.8,17.8,18.6
12,SUCCESS,2,2,5.71,13.97,19.68
150,SUCCESS,2,0,1.6,18.6,20.2
40,SUCCESS,3,4,5.71,15.06,20.77
229,SUCCESS,2,0,0.8,20.2,21
28,SUCCESS,3,3,5.71,15.91,21.63
30,SUCCESS,3,3,0.57,21.63,22.2
33,SUCCESS,3,3,0.29,22.2,22.49
37,SUCCESS,3,3,0.29,22.49,22.77
19,SUCCESS,2,1,6,17,23
38,SUCCESS,3,3,0.57,22.77,23.34
45,SUCCESS,3,3,0.29,23.34,23.63
16,SUCCESS,2,2,5.71,19.68,25.39
17,SUCCESS,2,2,0.29,25.39,25.68
25,SUCCESS,2,2,0.29,25.68,25.97
44,SUCCESS,3,4,5.71,20.77,26.49
49,SUCCESS,3,4,0.29,26.49,26.77
51,SUCCESS,3,3,4.29,23.63,27.91
27,SUCCESS,2,2,4.29,25.97,30.25
24,SUCCESS,2,1,8,23,31
56,SUCCESS,3,4,5.71,26.77,32.49
58,SUCCESS,3,4,0.57,32.49,33.06
52,SUCCESS,3,3,5.71,27.91,33.63
62,SUCCESS,3,4,0.57,33.06,33.63
57,SUCCESS,3,3,0.29,33.63,33.91
39,SUCCESS,2,2,4.28,30.25,34.54
41,SUCCESS,2,2,0.29,34.54,34.82
46,SUCCESS,2,2,0.57,34.82,35.39
260,SUCCESS,2,0,16,21,36.99
31,SUCCESS,2,1,6.11,31,37.1
285,SUCCESS,2,0,0.8,36.99,37.79
63,SUCCESS,3,4,4.29,33.63,37.91
59,SUCCESS,3,3,4.29,33.91,38.2
47,SUCCESS,2,2,4.29,35.39,39.68
35,SUCCESS,2,1,6,37.1,43.1
64,SUCCESS,3,4,5.71,37.91,43.63
80,SUCCESS,3,3,5.71,38.2,43.91
66,SUCCESS,3,4,0.57,43.63,44.2
48,SUCCESS,2,2,5.71,39.68,45.39
53,SUCCESS,2,2,0.29,45.39,45.68
54,SUCCESS,2,2,0.57,45.68,46.25
83,SUCCESS,3,3,4.29,43.91,48.2
85,SUCCESS,3,3,0.29,48.2,48.49
67,SUCCESS,3,4,4.29,44.2,48.49
86,SUCCESS,3,3,0.57,48.49,49.06
43,SUCCESS,2,1,6,43.1,49.1
50,SUCCESS,2,1,0.8,49.1,49.9
72,SUCCESS,2,2,5.71,46.25,51.96
316,SUCCESS,2,0,16,37.79,53.79
68,SUCCESS,3,4,5.71,48.49,54.2
69,SUCCESS,3,4,0.29,54.2,54.49
88,SUCCESS,3,3,5.71,49.06,54.77
55,SUCCESS,2,1,6,49.9,55.9
79,SUCCESS,2,2,4.29,51.96,56.25
71,SUCCESS,3,4,4.29,54.49,58.77
103,SUCCESS,3,3,4.29,54.77,59.06
74,SUCCESS,3,4,0.57,58.77,59.34
91,SUCCESS,2,2,4.29,56.25,60.53
75,SUCCESS,3,4,4.29,59.34,63.63
60,SUCCESS,2,1,8,55.9,63.9
61,SUCCESS,2,1,0.4,63.9,64.3
65,SUCCESS,2,1,0.4,64.3,64.7
104,SUCCESS,3,3,5.71,59.06,64.77
70,SUCCESS,2,1,0.8,64.7,65.5
355,SUCCESS,2,0,12,53.79,65.79
73,SUCCESS,2,1,0.4,65.5,65.9
92,SUCCESS,2,2,5.71,60.53,66.25
77,SUCCESS,2,1,0.46,65.9,66.36
441,SUCCESS,2,0,0.8,65.79,66.58
89,SUCCESS,2,1,0.4,66.36,66.76
94,SUCCESS,2,2,0.62,66.25,66.87
97,SUCCESS,2,1,0.4,66.76,67.16
466,SUCCESS,2,0,1.6,66.58,68.18
111,SUCCESS,3,3,4.29,64.77,69.06
76,SUCCESS,3,4,5.71,63.63,69.34
470,SUCCESS,2,0,1.6,68.18,69.78
78,SUCCESS,3,4,0.57,69.34,69.91
81,SUCCESS,3,4,0.29,69.91,70.2
82,SUCCESS,3,4,0.57,70.2,70.77
99,SUCCESS,2,2,4.29,66.87,71.15
478,SUCCESS,2,0,1.6,69.78,71.38
498,SUCCESS,2,0,1.6,71.38,72.98
119,SUCCESS,2,1,6,67.16,73.16
122,SUCCESS,2,1,0.8,73.16,73.96
112,SUCCESS,3,3,5.71,69.06,74.77
84,SUCCESS,3,4,5.71,70.77,76.49
108,SUCCESS,2,2,5.71,71.15,76.87
134,SUCCESS,2,2,0.57,76.87,77.44
115,SUCCESS,3,3,4.29,74.77,79.06
117,SUCCESS,3,3,0.29,79.06,79.34
121,SUCCESS,3,3,0.29,79.34,79.63
87,SUCCESS,3,4,4.29,76.49,80.77
90,SUCCESS,3,4,0.57,80.77,81.34
93,SUCCESS,3,4,0.29,81.34,81.63
135,SUCCESS,2,2,4.29,77.44,81.72
128,SUCCESS,2,1,8,73.96,81.95
123,SUCCESS,3,3,4.29,79.63,83.91
95,SUCCESS,3,4,4.29,81.63,85.91
139,SUCCESS,2,2,4.28,81.72,86.01
124,SUCCESS,3,3,5.71,83.91,89.63
132,SUCCESS,2,1,8,81.95,89.95
143,SUCCESS,2,2,4.28,86.01,90.29
138,SUCCESS,2,1,0.8,89.95,90.75
96,SUCCESS,3,4,5.71,85.91,91.63
98,SUCCESS,3,4,0.57,91.63,92.2
131,SUCCESS,3,3,4.29,89.63,93.91
133,SUCCESS,3,3,0.29,93.91,94.2
144,SUCCESS,2,2,5.71,90.29,96.01
146,SUCCESS,2,2,0.57,96.01,96.58
100,SUCCESS,3,4,5.71,92.2,97.91
101,SUCCESS,3,4,0.29,97.91,98.2
140,SUCCESS,2,1,8,90.75,98.75
102,SUCCESS,3,4,0.57,98.2,98.77
105,SUCCESS,3,4,0.29,98.77,99.06
141,SUCCESS,2,1,0.4,98.75,99.15
106,SUCCESS,3,4,0.57,99.06,99.63
136,SUCCESS,3,3,5.71,94.2,99.91
154,SUCCESS,2,1,0.8,99.15,99.95
137,SUCCESS,3,3,0.29,99.91,100.2
145,SUCCESS,3,3,0.29,100.2,100.49
149,SUCCESS,3,3,0.29,100.49,100.77
151,SUCCESS,2,2,4.29,96.58,100.86
153,SUCCESS,3,3,0.29,100.77,101.06
107,SUCCESS,3,4,4.29,99.63,103.91
110,SUCCESS,3,4,0.57,103.91,104.49
113,SUCCESS,3,4,0.29,104.49,104.77
159,SUCCESS,2,2,4.29,100.86,105.15
114,SUCCESS,3,4,0.57,104.77,105.34
161,SUCCESS,2,2,0.29,105.15,105.43
155,SUCCESS,2,1,6,99.95,105.95
162,SUCCESS,2,2,0.63,105.43,106.06
157,SUCCESS,2,1,0.4,105.95,106.35
156,SUCCESS,3,3,5.71,101.06,106.77
158,SUCCESS,2,1,0.8,106.35,107.15
166,SUCCESS,3,3,0.57,106.77,107.34
163,SUCCESS,2,2,4.29,106.06,110.35
170,SUCCESS,2,2,0.57,110.35,110.92
116,SUCCESS,3,4,5.71,105.34,111.06
178,SUCCESS,2,2,0.57,110.92,111.49
118,SUCCESS,3,4,0.57,111.06,111.63
168,SUCCESS,3,3,5.71,107.34,113.06
167,SUCCESS,2,1,6,107.15,113.15
184,SUCCESS,2,2,5.71,111.49,117.2
120,SUCCESS,3,4,5.71,111.63,117.34
125,SUCCESS,3,4,0.29,117.34,117.63
190,SUCCESS,2,2,0.57,117.2,117.77
