CloudletID,STATUS,DatacenterID,VMID,Time,Start Time,Finish Time
1,SUCCESS,3,4,0.29,0.2,0.49
9,SUCCESS,2,1,0.4,0.2,0.6
25,SUCCESS,2,0,0.8,0.2,1
17,SUCCESS,2,1,0.4,0.6,1
73,SUCCESS,2,0,0.8,1,1.8
3,SUCCESS,3,3,4.29,0.2,4.49
0,SUCCESS,2,2,5.71,0.2,5.91
8,SUCCESS,3,4,5.71,0.49,6.2
2,SUCCESS,2,2,0.57,5.91,6.49
19,SUCCESS,2,1,6,1,7
6,SUCCESS,2,2,0.62,6.49,7.11
37,SUCCESS,2,1,0.4,7,7.4
4,SUCCESS,3,3,5.71,4.49,10.2
5,SUCCESS,3,3,0.29,10.2,10.49
11,SUCCESS,3,4,4.29,6.2,10.49
13,SUCCESS,3,3,0.29,10.49,10.77
14,SUCCESS,3,3,0.57,10.77,11.34
7,SUCCESS,2,2,4.29,7.11,11.4
10,SUCCESS,2,2,0.57,11.4,11.97
39,SUCCESS,2,1,6,7.4,13.4
15,SUCCESS,3,3,4.29,11.34,15.63
18,SUCCESS,3,3,0.57,15.63,16.2
16,SUCCESS,3,4,5.71,10.49,16.2
22,SUCCESS,3,3,0.57,16.2,16.77
26,SUCCESS,3,4,0.57,16.2,16.77
12,SUCCESS,2,2,5.71,11.97,17.68
96,SUCCESS,2,0,16,1.8,17.8
47,SUCCESS,2,1,6,13.4,19.4
66,SUCCESS,2,1,0.8,19.4,20.2
24,SUCCESS,3,3,5.71,16.77,22.49
28,SUCCESS,3,4,5.71,16.77,22.49
29,SUCCESS,3,4,0.29,22.49,22.77
20,SUCCESS,2,2,5.71,17.68,23.39
21,SUCCESS,2,2,0.29,23.39,23.68
27,SUCCESS,3,3,4.29,22.49,26.77
33,SUCCESS,3,3,0.29,26.77,27.06
31,SUCCESS,3,4,4.29,22.77,27.06
34,SUCCESS,3,3,0.57,27.06,27.63
23,SUCCESS,2,2,4.29,23.68,27.97
80,SUCCESS,2,1,8,20.2,28.2
30,SUCCESS,2,2,0.57,27.97,28.54
85,SUCCESS,2,1,0.45,28.2,28.65
101,SUCCESS,2,1,0.4,28.65,29.05
127,SUCCESS,2,0,12,17.8,29.79
106,SUCCESS,2,1,0.86,29.05,29.9
113,SUCCESS,2,1,0.4,29.9,30.3
117,SUCCESS,2,1,0.4,30.3,30.7
35,SUCCESS,3,4,4.29,27.06,31.34
218,SUCCESS,2,0,1.6,29.79,31.39
122,SUCCESS,2,1,0.8,30.7,31.5
40,SUCCESS,3,3,5.71,27.63,33.34
49,SUCCESS,3,3,0.29,33.34,33.63
32,SUCCESS,2,2,5.71,28.54,34.25
36,SUCCESS,3,4,5.71,31.34,37.06
38,SUCCESS,3,4,0.57,37.06,37.63
51,SUCCESS,3,3,4.29,33.63,37.91
41,SUCCESS,3,4,0.29,37.63,37.91
53,SUCCESS,3,3,0.29,37.91,38.2
42,SUCCESS,3,4,0.57,37.91,38.49
43,SUCCESS,2,2,4.29,34.25,38.54
45,SUCCESS,2,2,0.29,38.54,38.82
132,SUCCESS,2,1,8,31.5,39.5
161,SUCCESS,2,1,0.4,39.5,39.9
60,SUCCESS,3,3,5.71,38.2,43.91
61,SUCCESS,3,3,0.29,43.91,44.2
44,SUCCESS,3,4,5.71,38.49,44.2
48,SUCCESS,2,2,5.71,38.82,44.53
46,SUCCESS,3,4,0.57,44.2,44.77
